GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Backend,tn.backend.isimm.web.rest.vm,LoginVM,6,24,0,0,1,10,1,7,1,7
Backend,tn.backend.isimm.web.rest.vm,ManagedUserVM,0,14,0,0,0,6,0,4,0,4
Backend,tn.backend.isimm.web.rest.vm,KeyAndPasswordVM,0,17,0,0,0,7,0,5,0,5
Backend,tn.backend.isimm.security,SecurityUtils,82,43,12,6,14,10,16,5,9,3
Backend,tn.backend.isimm.security,SpringSecurityAuditorAware,0,9,0,0,0,2,0,2,0,2
Backend,tn.backend.isimm.security,DomainUserDetailsService,6,95,0,4,0,24,1,8,1,6
Backend,tn.backend.isimm.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Backend,tn.backend.isimm.service.mapper,UserMapper,133,81,16,2,35,25,18,5,9,5
Backend,tn.backend.isimm.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Backend,tn.backend.isimm.domain,User_,3,0,0,0,1,0,1,0,1,0
Backend,tn.backend.isimm.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Backend,tn.backend.isimm.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Backend,tn.backend.isimm.domain,Authority,23,43,7,3,5,15,5,11,1,10
Backend,tn.backend.isimm.domain,User,0,153,0,8,0,50,0,34,0,30
Backend,tn.backend.isimm.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Backend,tn.backend.isimm.config,LiquibaseConfiguration,14,97,2,2,4,24,2,2,0,2
Backend,tn.backend.isimm.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Backend,tn.backend.isimm.config,DatabaseConfiguration,40,10,4,0,10,4,4,1,2,1
Backend,tn.backend.isimm.config,ApplicationProperties.Liquibase,7,3,0,0,3,1,2,1,2,1
Backend,tn.backend.isimm.config,StaticResourcesWebConfiguration,86,0,0,0,13,0,7,0,7,0
Backend,tn.backend.isimm.config,ApplicationProperties,3,8,0,0,1,2,1,1,1,1
Backend,tn.backend.isimm.config,SecurityConfiguration,17,387,1,1,1,47,2,13,1,13
Backend,tn.backend.isimm.config,CacheConfiguration,7,65,1,1,3,20,2,6,1,6
Backend,tn.backend.isimm.config,SecurityJwtConfiguration,11,98,4,6,2,24,3,8,0,6
Backend,tn.backend.isimm.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Backend,tn.backend.isimm.config,LocaleConfiguration,0,20,0,0,0,6,0,3,0,3
Backend,tn.backend.isimm.config,WebConfigurer,64,92,10,6,15,23,10,5,2,5
Backend,tn.backend.isimm.config,CRLFLogConverter,142,0,14,0,24,0,12,0,5,0
Backend,tn.backend.isimm.config,JacksonConfiguration,0,18,0,0,0,4,0,4,0,4
Backend,tn.backend.isimm.config,LoggingConfiguration,11,42,4,4,3,12,4,1,0,1
